50 0.315648 4.361952
70 0.272928 16.548992
80 0.373408 2.102816
90 0.406816 2.164800
5 0.180320 0.040192
5 0.245536 0.154400
5 0.243680 0.152032
5 0.256864 0.162272
5 0.185856 0.039104
5 0.251232 0.158048
5 0.177088 0.036288
50 0.402144 4.414560
5 0.209568 0.039648
5 0.244128 0.153216
5 0.172384 0.039808
50 0.265888 4.358496
5 0.166912 0.038848
5 0.178656 0.040416
5 0.271040 0.154752
10 0.178720 0.046912
10 0.321216 0.178272
5 0.176928 0.040064
5 0.175456 0.040384
6 0.165248 0.037728
6 0.225280 0.164224
6 0.165440 0.037920
6 0.226944 0.154208
6 0.167520 0.036992
6 0.218688 0.152640
6 62109.617188 0.207872
6 0.231392 0.175712
6 0.233184 0.155904
6 0.162112 0.036576
10000 0.324192 0.021600
12100 0.323392 0.028608
14400 0.352480 0.021152
16900 0.353792 0.018816
16900 0.359104 0.019744
25600 0.024128 0.014432
25 0.159328 0.034368
