GPU Time: 10 0.163968 0.042560
CPU Time: 10 0.247968 0.004157
GPU Time: 20 0.175584 0.157184
CPU Time: 20 1.680384 0.067794
GPU Time: 30 0.274144 0.605888
CPU Time: 30 6.210688 0.335629
GPU Time: 40 0.192160 1.744480
CPU Time: 40 19.371807 1.071018
GPU Time: 50 0.264448 4.359232
CPU Time: 50 40.759903 2.605013
GPU Time: 60 0.316672 8.743680
CPU Time: 60 97.222237 5.439838
GPU Time: 70 0.272512 16.542879
CPU Time: 70 143.053787 10.129163
GPU Time: 80 0.367200 2.190336
CPU Time: 80 308.305664 17.092417
GPU Time: 90 0.419328 2.065504
CPU Time: 90 495.596680 27.405891
